artifact,value
explanation or answer,16.68
document or report,14.91
advice or recommendation,10.72
none,6.52
analysis or summary,5.55
email or message,4.61
app or website,4.21
plan or strategy,4.09
code fix or debug,3.29
data or spreadsheet,3.11
script or snippet,2.97
educational material,2.83
marketing or social content,2.6
presentation or slides,2.32
chart or visualization,2.22
resume or job application,1.75
config or infra,1.52
math or calculation,1.5
creative writing,1.47
academic paper or thesis,1.16
image or graphic,0.87
ui or design mockup,0.79
translation,0.77
idea or brainstorm,0.71
recipe or meal plan,0.62
blog or article,0.55
ml or ai system,0.46
sql or database query,0.41
game or interactive,0.35
video or animation,0.26
other,0.18
audio or music,0.03
