Company,Disclosure_date,Metric,Value_as_disclosed,Unit_as_disclosed,Normalized_value,Normalized_unit,Scope,Product_or_surface,Disclosure_context,Source_name,Source_link,Source_type,Methodology_reference,Plot_ID,Notes
Alphabet / Google,2026-07-22,API token throughput,22 billion,tokens/minute,964.3,trillion tokens/month (30.44-day basis); 11.56 quadrillion tokens/year,Model APIs only — not all Google surfaces,Gemini model APIs,Q2 2026 earnings (quarter ended 30 Jun 2026). Earnings release states Gemini models now process 22 billion API tokens per minute; the call adds that this is up from 16 billion a quarter earlier and attributes growth to enterprise demand under supply constraint.,Alphabet — Q2 2026 earnings release (SEC exhibit 99.1),https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm,Company disclosure,§7.3 — Method 1; §2.6 — Global share,"P-01, P-02, P-04","Largest single Method 1 input. Spot rate, not a period average — both normalisations assume the rate held constant across the period. Vendor self-reported and unaudited. Verified against the primary earnings release and the earnings call transcript."
Alphabet / Google,2026-04 (stated retrospectively on the Q2 2026 call),API token throughput,16 billion,tokens/minute,701.3,trillion tokens/month (30.44-day basis); 8.41 quadrillion tokens/year,Model APIs only,Gemini model APIs,"Prior-quarter rate, disclosed as a comparison point on the Q2 2026 earnings call rather than as an independent Q1 2026 disclosure. Establishes a +37.5% quarter-on-quarter growth rate in API throughput.",Alphabet — Q2 2026 earnings call transcript,https://abc.xyz/investor/events/event-details/2026/2026-Q2-Earnings-Call-2026-GgTAq7Is0z/default.aspx,Company disclosure,§7.3 — Method 1,P-01,"Recovered from the Q2 2026 call, not from an original Q1 2026 disclosure. Useful for the growth trajectory; do not treat as an independently published quarterly series."
Alphabet / Google,"2026-05 (Google I/O 2026, approx. 19 May 2026)","Tokens processed, all surfaces",over 3.2 quadrillion,tokens/month,"3,200",trillion tokens/month; approx. 38.4 quadrillion tokens/year,"ALL Google surfaces — consumer products, API and enterprise combined",All surfaces,"I/O 2026 keynote statement covering Google's total token processing across every product surface, not the API alone.","Google — Sundar Pichai, I/O 2026 keynote",https://blog.google/innovation-and-ai/sundar-pichai-io-2026/,Company disclosure,§2.6 — Global share; §7.9 — De-duplication rule 2,P-03,"MUST NOT be added to the 22 bn tokens/min API figure — the all-surfaces figure already contains it (de-duplication rule 2). Used as the widest plausible denominator in the global-share bracketing and as a top-of-market ceiling, not as an addend in the Method 1 sum. Scope also spans multimodal and consumer traffic, which is not comparable with a text API measure."
Alphabet / Google,2026-07-22,Cloud customers above 1 trillion tokens/year,nearly 500,customers,approx. 500,trillion tokens/year implied floor from this cohort alone,Google Cloud customers,Google Cloud,Q2 2026 earnings call: nearly 500 Cloud customers had each processed more than 1 trillion tokens in the preceding 12 months.,"Google — Alphabet Q2 2026 earnings, CEO message",https://blog.google/company-news/inside-google/message-ceo/alphabet-earnings-q2-2026/,Company disclosure,§7.3 — Method 1,P-08,"A customer-count metric, not a throughput metric. The implied floor is a lower bound only: 'more than 1 trillion' has no stated upper bound, so actual cohort volume is higher by an unknown margin. Overlaps with the 22 bn tokens/min API figure — do not add."
Alphabet / Google,2026-07-22,Enterprises above 100 billion tokens/year,"more than 2,000",enterprises,approx. 200,trillion tokens/year implied floor from this cohort alone,Google Cloud enterprise customers,Google Cloud,"Q2 2026 earnings call: over the preceding 12 months, more than 2,000 enterprises each consumed over 100 billion tokens.","Google — Alphabet Q2 2026 earnings, CEO message",https://blog.google/company-news/inside-google/message-ceo/alphabet-earnings-q2-2026/,Company disclosure,§7.3 — Method 1,P-08,"Lower bound only, same reasoning as the 1-trillion cohort. This cohort likely contains the 1-trillion cohort as a subset — the two implied floors must not be summed."
OpenAI,2026-03 (figure as reported; announcement published late Mar / early Apr 2026),API token throughput,more than 15 billion,tokens/minute,657.5,trillion tokens/month (30.44-day basis); 7.88 quadrillion tokens/year,OpenAI APIs,API,Stated in OpenAI's funding announcement alongside enterprise-mix and Codex adoption figures; attributes record engagement to agentic workflows.,OpenAI — 'Accelerating the next phase of AI',https://openai.com/index/accelerating-the-next-phase-ai/,Company disclosure,§7.3 — Method 1; §2.6 — Global share,"P-01, P-04","Disclosed as 'more than 15 billion', so the normalised figures are floors rather than point estimates. The announcement page carries no visible publication date in retrieval; contemporaneous reporting dates the figure to end-March 2026. Not contemporaneous with the Google Q2 2026 figure — any side-by-side chart must state the four-month gap or normalise both to a common month."
OpenAI,2025-10 (DevDay 2025),API token throughput,6 billion,tokens/minute,263.0,trillion tokens/month (30.44-day basis); 3.15 quadrillion tokens/year,OpenAI APIs,API,"Platform throughput figure given at DevDay 2025, subsequently used as the baseline against which the March 2026 figure represents a 2.5x increase in five months.",OpenAI DevDay 2025 (figure reported via Wall Street Journal and multiple secondary trackers),,Reputable secondary source,§7.3 — Method 1,P-01,Primary OpenAI publication of this figure not located in this review — multiple independent secondary sources agree on the value. Retained for the growth trajectory only; should not be used as a Method 1 addend until a primary source is attached.
Microsoft,2025-07-30,"Tokens served by Foundry APIs, full fiscal year",over 500 trillion,"tokens (FY2025 total, year ended 30 Jun 2025)",500,trillion tokens/year; approx. 41.7 trillion tokens/month average,Azure AI Foundry APIs only — explicitly narrower than all Microsoft AI traffic,Azure AI Foundry,"FY25 Q4 earnings call. Management framed the figure narrowly as tokens served by Foundry APIs, up over 7x year-on-year, offered as an indicator of platform diffusion beyond a few large applications.",Microsoft — FY2025 Q4 earnings conference call,https://www.microsoft.com/en-us/investor/events/fy-2025/earnings-fy-2025-q4,Company disclosure,§7.3 — Method 1; §7.9 — De-duplication rule 1,"P-05, P-06","CRITICAL: Foundry is a gateway, not a model owner. Under de-duplication rule 1, models served through it are counted at the model owner — OpenAI models on Foundry belong to OpenAI. This figure therefore cannot be added wholesale to OpenAI's, and functions as an upper bound on Microsoft's own contribution until the overlap is stripped. Also note this is FY2025, ending 30 June 2025: it is now more than a year old and newer Microsoft disclosures exist (see rows below)."
Microsoft,2025-04-30,"Tokens processed, quarter",over 100 trillion,tokens/quarter (quarter ended 31 Mar 2025),approx. 33.3,trillion tokens/month average; approx. 400 trillion tokens/year annualised,Foundry / Azure AI platform,Azure AI Foundry,"FY25 Q3 earnings call. Stated as over 100 trillion tokens processed in the quarter, up 5x year-on-year.",Microsoft — FY2025 Q3 earnings conference call,https://www.microsoft.com/en-us/investor/events/fy-2025/earnings-fy-2025-q3,Company disclosure,§7.3 — Method 1,P-05,Scope wording in this quarter is 'tokens processed' rather than the narrower 'tokens served by Foundry APIs' used in Q4 — the two may not be like-for-like. Do not build a quarterly series across the two without confirming the scope is identical.
Microsoft,2025-04-30,"Tokens processed, single month",50 trillion,tokens/month (record month within quarter ended 31 Mar 2025),50,trillion tokens/month; approx. 600 trillion tokens/year annualised,Foundry / Azure AI platform,Azure AI Foundry,"FY25 Q3 earnings call, given as a record month inside the over-100-trillion quarterly figure.",Microsoft — FY2025 Q3 earnings conference call,https://www.microsoft.com/en-us/investor/events/fy-2025/earnings-fy-2025-q3,Company disclosure,§7.3 — Method 1,P-05,"A peak month, not a monthly average — annualising it overstates the run rate. Contained within the quarterly figure in the row above; the two must not be summed."
