series,hour_utc,pct_of_peak,is_peak,observation_type,color,source_name,source_link
China,0,84,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,1,94,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,2,97,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,3,100,True,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,4,100,True,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,5,97,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,6,94,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,7,90,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,8,87,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
China,9,84,False,stylized model (not measured hourly tokens),#ef4444,Anthropic via Sentisight (weekday peak 8am-2pm ET = 12-18 UTC) + Cloudflare Radar AI Insights (time-of-day); curve shapes inferred from regional business hours and blended by token share,https://www.sentisight.ai/the-busiest-times-for-generative-ai-usage/
