Plot_ID,Section,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Granularity,Year,Coverage,Source_files,Data_treatment,Source_name,Source_url,Legacy_anchor
COMPANIES-01,Epoch AI — Published Visualizations,Annualised revenue of AI companies,,"Epoch's default published view at the revenue tab: annualised revenue against the date of the report, log scale, every company where a figure exists.
Note — 9 of the 52 observations are Epoch annualising a disclosed period figure, drawn as open markers","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Revenue Reports,"One row per dated observation, as reported",2022–2026 (observed to 2026-08-13),"52 observations, 8 of 11 tracked companies",ai_companies_revenue_reports.csv,"Epoch's 'exclude from graph view' rows dropped; no value projected, imputed or back-filled",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-02,Epoch AI — Published Visualizations,"Annualised revenue of AI companies, linear scale",,"The same series on a linear axis — the scale control at its other setting, and the reason Epoch defaults to log.
Note — Every company but the largest two collapses onto the floor","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Revenue Reports,"One row per dated observation, as reported",2022–2026 (observed to 2026-08-13),"52 observations, 8 of 11 tracked companies",ai_companies_revenue_reports.csv,"Epoch's 'exclude from graph view' rows dropped; no value projected, imputed or back-filled",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-03,Epoch AI — Published Visualizations,"Annualised revenue of AI companies, with fitted growth",,"The revenue view with Epoch's regression control on: log-linear growth fitted per company, stated as an annual multiple and a doubling time.
Note — Fitted only for OpenAI and Anthropic; no other company reaches 12 observations","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Revenue Reports,"One row per dated observation, as reported",2022–2026 (observed to 2026-08-13),52 observations; 2 companies fitted,ai_companies_revenue_reports.csv,"Ordinary least squares on log10(revenue) against date, observed span only, never projected",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-04,Epoch AI — Published Visualizations,Active users of AI products,,"The usage tab: active users against the date of the report.
Note — Daily, weekly and monthly counts all appear here and are not interchangeable","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Usage Reports,"One row per dated observation, as reported",2023–2026 (observed to 2026-08-13),"30 observations with an active-user figure, 5 companies",ai_companies_usage_reports.csv,"Epoch's 'exclude from graph view' rows dropped; no value projected, imputed or back-filled",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-05,Epoch AI — Published Visualizations,"Tokens processed per day, by company",,"The usage tab at its token metric — the closest thing in the dataset to a direct throughput measure.
Note — 10 observations only; scope differs by company, from one API to every surface","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Usage Reports,"One row per dated observation, as reported",2023–2026 (observed to 2026-08-13),"10 observations, 4 companies",ai_companies_usage_reports.csv,"Epoch's 'exclude from graph view' rows dropped; no value projected, imputed or back-filled",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-06,Epoch AI — Published Visualizations,Staff at AI companies,,"The staff tab: headcount against the date of the report.
Note — For Google and Meta only an AI division is published, never the corporation; those are drawn as open markers","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Staff Reports,"One row per dated observation, as reported",2013–2026 (observed to 2026-08-13),"48 observations, 9 of 11 tracked companies",ai_companies_staff_reports.csv,"Epoch's 'exclude from graph view' rows dropped; no value projected, imputed or back-filled",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-07,Epoch AI — Published Visualizations,"Staff at AI companies, with fitted growth",,"The staff view with the regression control on.
Note — Only OpenAI reaches the 12 full-company observations a fit requires","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Staff Reports,"One row per dated observation, as reported",2013–2026 (observed to 2026-08-13),48 observations; 1 company fitted,ai_companies_staff_reports.csv,"Ordinary least squares on log10(staff) against date, full-company scope only, never projected",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-08,Epoch AI — Published Visualizations,Equity raised per funding round,,"The funding tab: capital raised in each closed round.
Note — 4 secondary sales raised no new equity and cannot sit on a log axis; they are dropped, not floored","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Funding Rounds,One row per funding round,2019–2026 (observed to 2026-08-13),"37 closed rounds with equity above zero, 7 companies",ai_companies_funding_rounds.csv,Closed rounds only; discussions and the cancelled round excluded; debt excluded,Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-09,Epoch AI — Published Visualizations,Post-money valuation of AI companies,,"The funding tab at its valuation metric: the post-money valuation set by each round.
Note — A valuation is one negotiated round, not a market price","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Funding Rounds,One row per funding round,2019–2026 (observed to 2026-08-13),"34 rounds carrying a valuation, 7 companies",ai_companies_funding_rounds.csv,Closed rounds only; no value projected or interpolated,Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
COMPANIES-10,Epoch AI — Published Visualizations,Cloud compute spend of AI companies,,"The compute spend tab: R&D and inference cloud spend, marked by which category the row covers.
Note — Only OpenAI and Anthropic disclose compute spend at all; 4 rows Epoch excludes are dropped","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI companies documentation",,,Epoch AI — AI Companies: Compute Spend,One row per disclosed period,2022–2026 (observed to 2026-08-13),"10 observations, 2 of 11 tracked companies",ai_companies_compute_spend.csv,"Epoch's 'exclude from graph view' rows dropped; no value projected, imputed or back-filled",Epoch AI — AI Companies,https://epoch.ai/data/ai-companies,
