Plot_ID,Section,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Granularity,Year,Coverage,Data_treatment,Source_name,Source_url,Legacy_anchor
EPOCH-01,Epoch AI — Published Visualizations,Compute capacity of AI data centers,,"Total installed compute across the tracked sites, reproduced from Epoch's published dataset rather than screenshotted.
Note — 72 future-dated timeline records excluded as schedules. Compute is modelled by Epoch from IT power and the likely chip mix","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","Site-level cumulative milestone records, step-summed across sites to a daily series",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
EPOCH-02,Epoch AI — Published Visualizations,IT power of AI data centers,,"Total installed IT power across the same sites.
Note — IT power is the computing load only — facility power runs about 1.28x higher","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","Site-level cumulative milestone records, step-summed across sites to a daily series",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
EPOCH-03,Epoch AI — Published Visualizations,"Compute capacity of AI data centers, by company",,"The same Epoch view broken out by owner, matching Epoch's colour-by-owner option. Interactive version available.
Note — Owner shares sum to Epoch's published total exactly. Ownership is not the same as use — see DERIVED-06","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","Site-level cumulative milestone records, step-summed across sites to a daily series",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
EPOCH-04,Epoch AI — Published Visualizations,"IT power of AI data centers, by company",,"Installed IT power by owner, on the same observed basis. Interactive version available.
Note — ""Unknown"" is Epoch's own label where ownership is unattributed, not a residual we computed","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","Site-level cumulative milestone records, step-summed across sites to a daily series",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
EPOCH-05,Epoch AI — Published Visualizations,"Capital cost of AI data centers, by company",,"Modelled capital cost by owner, the third of Epoch's three metric views. Interactive version available.
Note — Cost is modelled entirely from IT power via a cost-per-watt model; it is not company-reported spend","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","Site-level cumulative milestone records, step-summed across sites to a daily series",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
DERIVED-01,Derived Analysis,"AI compute is concentrated, but not in a single site",,"The 15 largest sites by observed compute, and the share of the tracked total they account for.
Note — Concentration is measured across Epoch's coverage, which is biased toward the largest sites","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","One row per tracked site, at the snapshot",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
DERIVED-02,Derived Analysis,The tracked build-out is almost entirely American,,"Observed compute and tracked site count by country.
Note — 93.9% US is partly real and partly coverage — Epoch's database is strongest in the US and still expanding elsewhere","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","One row per tracked site, at the snapshot",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
DERIVED-03,Derived Analysis,Epoch's cost model puts roughly two-thirds of the capital in chips,,"Observed capital cost split into compute hardware and construction, by owner.
Note — The chips/buildings ratio is fixed by Epoch's cost model and identical for every owner — read scale, not cost structure","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","One row per tracked site, at the snapshot",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
DERIVED-04,Derived Analysis,Custom silicon carries as much of the installed fleet as Nvidia does,,"Accelerators installed by chip type over time, at the sites where Epoch records a chip breakdown.
Note — Units are counted, not performance-weighted, and only 16 of 219 chip records are company disclosures","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,Epoch AI — AI Data Centers (data_center_chip_quantities.csv),"Site and chip-type level cumulative counts, aggregated to a daily series",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
DERIVED-05,Derived Analysis,"Cooling hardware size predicts its capacity, and so a site's power",,"Rated cooling capacity against physical footprint for every unit in Epoch's two equipment catalogues — the measurement backbone of the dataset.
Note — Manufacturer catalogue ratings, not measurements of installed units; rated capacity is an upper bound","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_center_cooling_towers.csv, data_center_chillers.csv)",One row per equipment model in the reference catalogue,,Catalogue reference data (snapshot downloaded 2026-08-06); not a time series,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
DERIVED-06,Derived Analysis,The largest users of AI compute are not the largest owners of it,,"Observed compute by the company that owns each site against the company recorded as its primary user.
Note — Epoch records a user for 56 of 77 sites; only the first listed user is taken as primary","Methodology reference pending final methodology document
Derivation follows Epoch AI's published data centers documentation",,,"Epoch AI — AI Data Centers (data_centers.csv, data_center_timelines.csv)","One row per tracked site, at the snapshot",,Observed 2023-01-01 to 2026-08-06 (snapshot); last recorded milestone 2026-08-02,Observed data only; projected/future observations excluded,Epoch AI — AI Data Centers,https://epoch.ai/data/ai-data-centers,
