Plot_ID,Section,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Granularity,Year,Coverage,Source_files,Data_treatment,Source_name,Source_url,Legacy_anchor
CHIP-01,Epoch AI — Published Visualizations,"Cost of AI chip components, by component",,"Epoch's default view: what the components inside the tracked designers' chips cost each quarter, split into logic wafers, CoWoS packaging, HBM and auxiliary.
Note — Component totals are sums of four published medians — Epoch simulates each aggregation separately, so a median never adds exactly (0.71% at the analogous grain)","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (quarterly_by_designer.csv),"Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-02,Epoch AI — Published Visualizations,"Cost of AI chip components, by designer",,"The same quarterly cost, coloured by designer instead of by component.
Note — ""Other"" is the residual of world supply, not an AI chip designer, and is excluded from every cost view","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (quarterly_by_designer.csv),"Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-03,Epoch AI — Published Visualizations,"Share of AI chip component cost, by component",,"The cost stack normalised to 100%, which is Epoch's ""Share of cost"" setting.
Note — HBM rises from 52% to 63% of the bill across the window — memory, not the logic die, is what an accelerator costs","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (quarterly_by_designer.csv),"Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-04,Epoch AI — Published Visualizations,"Share of AI chip component cost, by designer",,"The same normalised view, split by designer: how the tracked spend divides between NVIDIA, Google, Amazon and AMD.
Note — Shares are of tracked AI spend only; designers Epoch does not cover (Meta, Microsoft, Tesla, Huawei and others) are absent from the denominator","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (quarterly_by_designer.csv),"Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-05,Epoch AI — Published Visualizations,"Cumulative cost of AI chip components, by component",,"Epoch's ""Show cumulative"" setting, read from the published cumulative file rather than running-summed.
Note — Read from Epoch's own cumulative file, so no value is re-derived by summing the quarterly one","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (cumulative_by_designer.csv),"Designer x quarter, cumulative through, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,cumulative_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-06,Epoch AI — Published Visualizations,"Cumulative cost of AI chip components, by designer",,"The cumulative view by designer: $74.2bn of components consumed across the eight quarters, three quarters of it NVIDIA's.
Note — Component cost is not chip price or revenue — margin, board, assembly and networking are outside the dataset","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (cumulative_by_designer.csv),"Designer x quarter, cumulative through, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,cumulative_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-07,Epoch AI — Published Visualizations,"Annual cost of AI chip components, by component",,"Epoch's ""Show time as: Annual"" setting, the two complete calendar years in the window.
Note — Annual figures sum four published quarterly medians rather than re-simulating the year, which carries the same 0.44% non-additivity","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (quarterly_by_designer.csv),"Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-08,Epoch AI — Published Visualizations,"Annual cost of AI chip components, by designer",,"The annual view by designer — $22.0bn in 2024 against $52.2bn in 2025.
Note — Two years is the whole window; there is no third year in the source to compare against","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,Epoch AI — AI Chip Components (quarterly_by_designer.csv),"Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-09,Epoch AI — Published Visualizations,"Advanced-node logic wafers consumed, by designer",,"The Logic tab: 3-5 nm wafer consumption by designer each quarter, against Epoch's published world supply.
Note — Bars are the tracked designers; the dashed line is world supply, so the gap between them is the residual Epoch labels ""Other""","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,"Epoch AI — AI Chip Components (quarterly_by_designer.csv, supply_denominators.csv)","Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv + supply_denominators.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
CHIP-10,Epoch AI — Published Visualizations,"Share of world advanced-node logic supply, by designer",,"The Logic tab as a share of supply, with the residual included so the stack closes at 100%.
Note — AI took 11.7% of world advanced-node logic supply in Q4 2025 — logic is shared with every other leading-edge customer","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI Chip Components methodology",,,"Epoch AI — AI Chip Components (quarterly_by_designer.csv, supply_denominators.csv)","Designer x quarter, 5th/50th/95th percentile",,Q1 2024 to Q4 2025 — 8 complete quarters; the partial Q1 2026 in the download is excluded,quarterly_by_designer.csv + supply_denominators.csv,"Complete quarters only; published Monte Carlo medians read at the grain each chart is drawn at. Nothing imputed, projected or trend-fitted",Epoch AI — AI Chip Components,https://epoch.ai/data/ai-chip-components,
