quarter,quarter_index,start_date,end_date,designer,logic_wafers_p5,logic_wafers_p50,logic_wafers_p95,logic_cost_usd_p5,logic_cost_usd_p50,logic_cost_usd_p95,cowos_wafers_p5,cowos_wafers_p50,cowos_wafers_p95,cowos_cost_usd_p5,cowos_cost_usd_p50,cowos_cost_usd_p95,hbm_cost_usd_p5,hbm_cost_usd_p50,hbm_cost_usd_p95,aux_cost_usd_p5,aux_cost_usd_p50,aux_cost_usd_p95,total_cost_usd_p5,total_cost_usd_p50,total_cost_usd_p95
Q1 2024,0,2024-01-01,2024-03-31,AMD,1278.021154,1470.548974,1689.478619,19729988.06,25721835.95,33020115.51,5630.906562,6438.340389,7343.840882,54399453.35,77212738.21,105645920.4,190260143,218986185.6,251650611.4,13924363.93,17172824.55,20896873.3,278313948.3,339093584.3,411213520.6
Q1 2024,0,2024-01-01,2024-03-31,Amazon,529.6543226,700.2114797,931.0863527,8474469.162,12253700.89,17690640.7,3046.452544,4096.175727,5353.261652,28103640.68,48831245.03,78865254.26,76003096.37,99421726.24,126963333.1,26934391.99,43101892.96,65424565.89,139515598.2,203608565.1,288943793.9
Q1 2024,0,2024-01-01,2024-03-31,Google,4434.469502,5114.721562,5846.164307,66543705.19,89422816.48,116736734.6,9239.100044,10540.55989,11929.62803,87462167.65,126366297,174341501.5,195290997.6,238282875,286517812.7,114464790.4,135183559.4,157334017.3,463761660.9,589255548,734930066.1
Q1 2024,0,2024-01-01,2024-03-31,NVIDIA,17461.98213,18908.04017,20437.72803,271389452,330266520.2,398809384.7,27768.17942,29894.64131,32117.07935,270439317.1,358171628.7,461078863.9,1020357601,1123117111,1243727568,265664472,292103141.3,321114336.4,1827850842,2103658401,2424730153
Q1 2024,0,2024-01-01,2024-03-31,Other,439782.6683,439782.6683,439782.6683,8245925030,8245925030,8245925030,7530.282692,7530.282692,7530.282692,90363392.3,90363392.3,90363392.3,820192101.9,820192101.9,820192101.9,0,0,0,9156480525,9156480525,9156480525
Q2 2024,1,2024-01-01,2024-06-30,AMD,3402.157915,3742.534308,4104.210385,52977436.98,65531526.61,79753120.83,15298.83853,16831.41611,18443.41819,148957276.4,202062823.8,264125064.2,508807598.3,564848850.3,624842537.8,51105331.56,57914129.96,65293689.94,761847643.2,890357330.7,1034014413
Q2 2024,1,2024-01-01,2024-06-30,Amazon,1946.512813,2382.223114,2820.261841,31144205.01,41688904.49,53584974.99,7842.183083,9682.153361,11822.79708,72943694.16,116047118.4,173113075.2,211142627.1,256695696.4,308002739.6,69906164.38,95670215.42,124265268,385136690.7,510101934.7,658966057.7
Q2 2024,1,2024-01-01,2024-06-30,Google,9938.758004,11181.70107,12444.37506,147064226.7,195191646.8,252039338.6,19949.34981,22376.90827,24914.74147,186992716.2,268099447.2,367235446.8,438022435.7,525799459.9,623917533.7,250443525.3,283036283.8,317128506.6,1022522904,1272126838,1560320826
Q2 2024,1,2024-01-01,2024-06-30,NVIDIA,39616.90422,42240.8275,44874.75407,619818858.1,738678385.9,871088333.3,62862.35119,66877.76891,70930.04166,614956872.5,801930591.1,1014010934,2428207381,2645737091,2905568191,619401150.9,661879304.7,705925468.7,4282384262,4848225373,5496592927
Q2 2024,1,2024-01-01,2024-06-30,Other,972563.0331,972563.0331,972563.0331,1.823555687e+10,1.823555687e+10,1.823555687e+10,19304.59856,19304.59856,19304.59856,231655182.7,231655182.7,231655182.7,2006960926,2006960926,2006960926,0,0,0,2.047417298e+10,2.047417298e+10,2.047417298e+10
Q3 2024,2,2024-01-01,2024-09-30,AMD,6583.340992,7179.07078,7798.833985,99615116.73,125113929.3,155744078.4,29850.37849,32466.69217,35144.56311,282904843.6,388094808.5,516705334.5,985136696.2,1084589607,1188237669,106852782.7,116700541.8,126798675.6,1474509439,1714498887,1987485758
Q3 2024,2,2024-01-01,2024-09-30,Amazon,5457.899097,6481.33632,7518.795329,87326385.55,113423385.6,142857111.2,16235.2543,19026.23215,21969.4,152313827.3,228022895.4,323988844.3,476427972.3,559369583.6,650477273.7,132544603.6,165006958.5,201342704.8,848612788.7,1065822823,1318665934
Q3 2024,2,2024-01-01,2024-09-30,Google,17133.04472,18814.92251,20564.94028,254850566.1,328821484.6,414535670.2,32591.26599,35866.76358,39199.69422,305920851.3,429784908,578961395.2,716368950.3,842255830.5,980834986.1,401406636.2,446062522.5,492832972,1678547004,2046924746,2467165024
Q3 2024,2,2024-01-01,2024-09-30,NVIDIA,70714.89886,74234.88826,77842.98389,1099961395,1298708872,1518707373,108803.507,114214.3759,119876.9855,1085835691,1417605102,1781546981,4496015949,4857404702,5309863984,1055052187,1113988659,1174967251,7736865222,8687707335,9785085589
Q3 2024,2,2024-01-01,2024-09-30,Other,1551925.637,1551925.637,1551925.637,2.90986057e+10,2.90986057e+10,2.90986057e+10,32500.26669,32500.26669,32500.26669,390003200.3,390003200.3,390003200.3,3577274299,3577274299,3577274299,0,0,0,3.30658832e+10,3.30658832e+10,3.30658832e+10
Q4 2024,3,2024-01-01,2024-12-31,AMD,9981.245933,10664.37683,11361.35744,151632861.4,186199907.6,226674644.4,45798.30998,48968.86579,52193.43098,434569292.1,586210785.3,767987464.4,1546072917,1674987013,1809136975,189370829.8,206315573.6,223928126.2,2321645900,2653713279,3027727210
Q4 2024,3,2024-01-01,2024-12-31,Amazon,10268.21414,11598.8235,12986.73541,164291426.2,202979411.3,246747972.9,25073.54691,28447.4656,32007.29075,237651346.4,340904641.5,468665608.7,792690306.5,905731316.8,1035258348,238764787.4,281079300.5,325767520.5,1433397866,1730694670,2076439450
Q4 2024,3,2024-01-01,2024-12-31,Google,26353.29574,28655.48371,30926.02729,396890949.7,500893181.5,620072981,46907.49654,50929.50763,54982.14824,441911705.4,610694036.5,810660618.1,1023683893,1180321494,1349084347,575787997.2,628470432,683019577,2438274546,2920379144,3462837523
Q4 2024,3,2024-01-01,2024-12-31,NVIDIA,121194.8766,126174.8371,131220.0258,1883503156,2206800358,2563083001,180310.868,187546.6077,194907.5602,1861378313,2443298559,3052114535,7822815730,8389717416,9129877102,1612137302,1684118776,1758168626,1.31798345e+10,1.472393511e+10,1.650324326e+10
Q4 2024,3,2024-01-01,2024-12-31,Other,2318180.708,2318180.708,2318180.708,4.346588827e+10,4.346588827e+10,4.346588827e+10,35275.17091,35275.17091,35275.17091,423302050.9,423302050.9,423302050.9,6228544651,6228544651,6228544651,0,0,0,5.011773497e+10,5.011773497e+10,5.011773497e+10
Q1 2025,4,2024-01-01,2025-03-31,AMD,12901.32427,13610.93247,14319.1213,198084302.4,238169663,282920603.3,59696.09578,63011.43872,66319.04926,572539879.6,755312320.4,964263225.4,2052899837,2199502800,2352263546,273937669.9,291364076.6,308819642.4,3097461689,3484348860,3908267017
Q1 2025,4,2024-01-01,2025-03-31,Amazon,16074.07988,17527.12861,19019.17895,257185278.1,306724750.7,361364400.1,34617.01541,38110.48592,41797.58752,332237911,456817208.7,606599752,1146858743,1280892405,1442397471,322946500.7,366723148.9,411859292.8,2059228433,2411157513,2822220916
Q1 2025,4,2024-01-01,2025-03-31,Google,38477.69195,41382.80845,44380.19363,586005033.8,723900332.1,879714173.6,63740.00973,68563.49731,73387.71579,604995242.6,822358242.3,1076100713,1369281912,1542205851,1733358429,757830628.2,818102676.4,880195080.5,3318112816,3906567102,4569368396
Q1 2025,4,2024-01-01,2025-03-31,NVIDIA,179086.3521,185126.4271,191446.2293,2781739892,3238774120,3742921137,260693.8759,269236.4229,278214.8844,2764383335,3644206504,4538820492,1.183404061e+10,1.265633725e+10,1.375562451e+10,2453806892,2543999535,2636093473,1.983397073e+10,2.208331741e+10,2.467345961e+10
Q1 2025,4,2024-01-01,2025-03-31,Other,2999487.651,2999487.651,2999487.651,5.624039345e+10,5.624039345e+10,5.624039345e+10,36923.467,36923.467,36923.467,443081604.1,443081604.1,443081604.1,7168344248,7168344248,7168344248,0,0,0,6.38518193e+10,6.38518193e+10,6.38518193e+10
Q2 2025,5,2024-01-01,2025-06-30,AMD,15679.28632,16505.64313,17337.58154,239253095.4,291534285,349899799.9,72336.33875,76091.39982,79848.71486,688359808.2,911959953.3,1169787790,2595103519,2771931173,2960728434,343454073.2,361523699.6,379788281.4,3866170496,4336949111,4860204305
Q2 2025,5,2024-01-01,2025-06-30,Amazon,22830.21582,24415.08563,26074.62201,365283453.2,427263998.5,495417818.2,45718.82114,49356.67558,53220.17818,442254991.4,591711330.4,767739081.8,1557591987,1718836155,1918686597,422447040.1,466919288.5,512769907.7,2787577472,3204730773,3694613405
Q2 2025,5,2024-01-01,2025-06-30,Google,52778.15,56439.323,60163.31114,807594831.8,990065048.4,1194268277,84036.11749,89706.93649,95391.55413,797580511.9,1076869611,1400194063,1834275868,2027416260,2232032155,971999150.5,1041391959,1111399976,4411450363,5135742878,5937894471
Q2 2025,5,2024-01-01,2025-06-30,NVIDIA,239039.0253,246209.1526,253737.2385,3714914626,4308727285,4956682562,338342.8623,348075.9938,358219.8114,3693023238,4900425879,6084485722,1.629941823e+10,1.7453713e+10,1.907606336e+10,3203941062,3303925946,3406008028,2.691129716e+10,2.996679211e+10,3.352323968e+10
Q2 2025,5,2024-01-01,2025-06-30,Other,3840948.246,3840948.246,3840948.246,7.201777961e+10,7.201777961e+10,7.201777961e+10,61711.84168,61711.84168,61711.84168,740542100.2,740542100.2,740542100.2,8741519834,8741519834,8741519834,0,0,0,8.149984155e+10,8.149984155e+10,8.149984155e+10
Q3 2025,6,2024-01-01,2025-09-30,AMD,18523.42145,19590.60258,20707.49033,283210993,350990202.3,426686645.2,84925.19962,89643.26346,94512.98909,804166104.5,1074680404,1392204942,3208788251,3450461563,3716096338,422755181.7,445607627.3,469938186.6,4718920530,5321739796,6004926111
Q3 2025,6,2024-01-01,2025-09-30,Amazon,30612.98937,32421.64203,34267.13444,489807829.9,567378735.6,651075554.4,58540.24738,62389.61814,66435.23908,569507124.2,748329748,954754844.5,2029716398,2225584041,2478135712,537214072.3,582819218.8,629856105.8,3626245424,4124111743,4713822217
Q3 2025,6,2024-01-01,2025-09-30,Google,65317.1185,69684.81441,74145.94859,1002096307,1231365732,1482233263,104842.0778,111500.141,118103.6917,993664683.8,1337849867,1734781970,2560079969,2793242040,3034278364,1223883363,1303033008,1383096886,5779724324,6665490648,7634390482
Q3 2025,6,2024-01-01,2025-09-30,NVIDIA,320178.4453,329025.2643,338023.8392,4983285205,5756761607,6590926619,436956.2897,448488.0941,460400.8319,4919940034,6564674669,8118594188,2.260462388e+10,2.421436954e+10,2.654003773e+10,4119300951,4225941774,4337475749,3.662715007e+10,4.076174759e+10,4.558703429e+10
Q3 2025,6,2024-01-01,2025-09-30,Other,4788803.095,4788803.095,4788803.095,8.979005803e+10,8.979005803e+10,8.979005803e+10,86478.07349,86478.07349,86478.07349,1037736882,1037736882,1037736882,9490829733,9490829733,9490829733,0,0,0,1.003186246e+11,1.003186246e+11,1.003186246e+11
Q4 2025,7,2024-01-01,2025-12-31,AMD,21520.14159,23058.60804,24661.11556,330689108.5,417806005.8,515021994.2,98054.271,104699.1367,111599.9352,928028289.1,1254193315,1643923658,3898285771,4272812992,4691442142,513758486.9,547052456.7,583755552.8,5670761656,6491864769,7434143346
