entity,channel,low,mid,high,value_kind,confidence,backtest_ratio,backtest_verdict,included_in_reconciliation,formula
Google,anchor,94.6,105.1,115.6,demand_estimate,high,,,yes,"disclosed 3,200T/month (all surfaces, incl multimodal)"
Google,hardware,41.1,405.2,1250.4,capacity_ceiling,low,3.9,PASS,yes,fleet x tok/s x inference_fraction x utilization x 86400
OpenAI,demand,22.9,26.6,44,demand_estimate,medium,,,yes,disclosed API 21.6T/day + messages/day x tokens/message
OpenAI,telemetry,48,61.7,86.4,demand_estimate,low,,,yes,disclosed API / (API:all-surfaces ratio 0.25-0.45)
OpenAI,financial,4.1,21.2,79.1,demand_estimate,low,,,yes,COGS: inference spend/day / frontier cost-to-serve ($/Mtok x5-6 frontier premium)
Anthropic,financial,13.7,31.9,69.4,demand_estimate,low,,,yes,API run-rate revenue/day / realized $/Mtok (1.5-6)
Microsoft,anchor,1.4,2.2,3,demand_estimate,medium,,,yes,"Foundry 500T/FY2025 disclosed, grown to FY26 (+30% QoQ customer trend)"
Meta,demand,0.1,0.6,2.6,demand_estimate,low,,,yes,DAU x msgs/user/day x tokens/message
Meta,hardware,12.8,131.7,416.8,capacity_ceiling,low,,,yes,fleet x tok/s x inference_fraction x utilization x 86400
xAI,demand,0.1,0.9,7.5,demand_estimate,low,,,yes,DAU x msgs/user/day x reasoning tokens/message
xAI,hardware,1.9,23.3,78.1,capacity_ceiling,low,,,yes,fleet x tok/s x inference_fraction x utilization x 86400
DeepSeek,demand,0.2,1.5,9,demand_estimate,medium,1.9,PASS,yes,DAU x msgs/user/day x reasoning tokens/message
DeepSeek,financial,4.9,10,17.8,demand_estimate,very low,12.9,FAIL,no,API revenue/day / realized $/Mtok
DeepSeek,hardware,0.3,1.3,2.6,capacity_ceiling,low,1.7,PASS,yes,fleet x tok/s x inference_fraction x utilization x 86400
China aggregate,anchor,140,140,140,demand_estimate,high,,,yes,disclosed (2026-03-24)
Fireworks AI,anchor,30,30,30,demand_estimate,high,,,yes,disclosed (2026-06-23)
Together AI,anchor,2,2,2,demand_estimate,high,,,yes,disclosed (2025-09-15)
GLOBAL,telemetry,5,15,40,demand_estimate,very low,,,yes,unattributed remainder: self-hosted open-weights + Bedrock non-Claude + Groq/Cerebras + sovereign
