node_name,pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,human_only_ability_pct,multitasking_pct,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,human_only_minutes,human_with_ai_minutes,time_ratio
Computer and Mathematical,23.8,63.9,36.1,2.82,79.17,21.07,13.6,12.69,5.35,41.76,55.07,30.46,14.47,321.0,41.76,7.686781609195402
"Arts, Design, Entertainment, Sports, and Media",13.55,35.85,64.15,2.66,90.99,25.32,12.25,11.77,4.97,43.3,50.58,31.37,18.06,298.2,43.3,6.886836027713626
Educational Instruction and Library,12.79,42.77,57.23,2.7,91.41,20.93,12.65,11.83,4.7,33.62,23.6,36.0,40.4,282.0,33.62,8.387864366448543
Sales and Related,9.14,43.79,56.21,2.58,96.52,24.31,10.37,9.1,2.48,30.17,24.68,69.85,5.47,148.8,30.17,4.932051706993702
Office and Administrative Support,7.89,56.02,43.98,2.81,88.0,19.53,13.3,12.47,4.28,25.01,57.32,25.63,17.05,256.8,25.01,10.267892842862855
Management,5.9,43.9,56.1,2.85,88.27,30.16,12.88,12.25,6.5,47.74,60.69,29.49,9.81,390.0,47.74,8.169250104733976
Business and Financial Operations,5.77,42.61,57.39,2.78,86.65,27.15,13.52,12.69,6.34,42.57,50.8,41.72,7.48,380.4,42.57,8.935870331219167
"Life, Physical, and Social Science",4.51,40.46,59.54,2.84,86.14,21.61,13.48,12.77,5.43,47.46,38.35,40.06,21.59,325.79999999999995,47.46,6.864728192161819
Architecture and Engineering,3.56,44.89,55.11,2.73,83.43,20.36,14.12,13.62,5.63,49.96,55.52,24.57,19.91,337.8,49.96,6.7614091273018415
Healthcare Practitioners and Technical,3.31,41.62,58.38,2.61,93.28,24.5,10.81,9.12,2.52,42.48,7.84,87.97,4.19,151.2,42.48,3.559322033898305
Community and Social Service,2.57,40.01,59.99,2.82,92.1,29.91,10.29,9.4,3.77,85.93,7.54,90.35,2.12,226.2,85.93,2.6323751891074125
Personal Care and Service,1.23,55.87,44.13,2.64,95.78,14.75,9.24,8.37,2.21,21.03,26.59,65.24,8.17,132.6,21.03,6.305278174037089
Production,1.04,63.72,36.28,2.74,80.88,28.93,13.31,12.58,5.26,62.45,57.64,34.99,7.36,315.59999999999997,62.45,5.053642914331465
Legal,1.02,34.57,65.43,2.72,76.08,22.1,15.58,15.06,6.31,51.68,59.96,29.39,10.65,378.59999999999997,51.68,7.325851393188854
Healthcare Support,0.62,39.08,60.92,2.53,95.28,16.61,9.86,8.48,1.33,23.29,11.71,76.27,12.03,79.80000000000001,23.29,3.426363246028339
"Installation, Maintenance, and Repair",0.62,69.44,30.56,2.87,92.5,17.5,12.96,12.52,2.64,28.55,54.17,37.84,7.99,158.4,28.55,5.54816112084063
Food Preparation and Serving Related,0.48,49.13,50.87,2.67,98.82,20.78,8.54,6.87,1.63,18.01,10.23,87.01,2.76,97.8,18.01,5.430316490838423
Transportation and Material Moving,0.34,51.74,48.26,2.67,95.18,18.4,11.83,11.1,2.63,26.28,49.96,41.86,8.18,157.79999999999998,26.28,6.004566210045661
Protective Service,0.33,73.58,26.42,2.64,96.52,9.91,13.01,12.49,1.75,13.94,56.22,38.0,5.78,105.0,13.94,7.532281205164993
Building and Grounds Cleaning and Maintenance,0.13,47.06,52.94,2.79,93.47,28.64,12.55,12.05,5.17,42.02,70.93,26.21,2.86,310.2,42.02,7.38219895287958
Construction and Extraction,0.1,66.21,33.79,2.92,94.31,18.57,13.0,12.58,3.04,25.39,63.76,34.39,1.85,182.4,25.39,7.183930681370619
"Farming, Fishing, and Forestry",0.04,65.07,34.93,2.53,97.2,11.86,10.51,9.4,1.41,16.66,37.59,60.85,1.56,84.6,16.66,5.078031212484993
