Plot_ID,Section,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Granularity,Year,Coverage,Source_files,Data_treatment,Source_name,Source_url,Legacy_anchor
MODELS-01,Epoch AI — Published Visualizations,Training compute of notable AI models,,"Epoch's default published view: training compute against publication date over the notable models, with the deep learning era trend fitted to the plotted points.
Note — 534 of 1,043 notable models record a training compute figure; the rest are absent rather than estimated","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-02,Epoch AI — Published Visualizations,"Training compute of notable AI models, by domain",,"The same view with Epoch's colour-by-domain option applied, so the language, vision and multimodal clouds separate.
Note — Domain is recorded per model and can list several; a model tagged Multimodal is counted there rather than under each component domain","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-03,Epoch AI — Published Visualizations,"Training compute of notable AI models, by organization",,"The same view coloured by the organisation credited first on each model, top nine plus a pooled remainder.
Note — Epoch lists several Google research groups separately, and they are not merged here — merging would be our judgement, not the source's","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-04,Epoch AI — Published Visualizations,"Training compute of notable AI models, by country",,"The same view coloured by the country of the building organisation, with cross-border collaborations shown as Multinational.
Note — A model with organisations in two countries is counted once as Multinational rather than split or assigned to the first","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-05,Epoch AI — Published Visualizations,Training compute of frontier AI models,,"Epoch's frontier release on the same axes — models that were in the top 10 by training compute when they were released.
Note — 126 of 137 frontier models record a compute figure; the deep learning era fit is far tighter here than over notable models","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (frontier_ai_models.csv),"One row per model, plotted at its publication date",,"137 models in the release, 126 with training compute; published 1950-07-02 to 2025-07-09",frontier_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-06,Epoch AI — Published Visualizations,Training compute of large-scale AI models,,"Epoch's large-scale release: every model trained with more than 1e23 FLOP, the threshold used in several AI regulatory frameworks.
Note — The 1e23 threshold is a floor on the vertical axis by construction, which is why the fit through this release is weak","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (large_scale_ai_models.csv),"One row per model, plotted at its publication date",,"524 models in the release, 314 with training compute; published 2019-10-30 to 2026-07-31",large_scale_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-07,Epoch AI — Published Visualizations,Training compute of all AI models in the database,,"The full Epoch database on the same axes — notable and non-notable models together, 1950 to the snapshot.
Note — 1,402 of 3,574 models record a compute figure; coverage is thinnest here because most entries are not researched in depth","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (all_ai_models.csv),"One row per model, plotted at its publication date",,"3,574 models in the release, 1,402 with training compute; published 1950-07-02 to 2026-07-31",all_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-08,Epoch AI — Published Visualizations,Parameters of notable AI models,,"The published figure with parameters on the vertical axis, one of the metrics Epoch's axis menu offers.
Note — 714 of 1,043 notable models record a parameter count","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-09,Epoch AI — Published Visualizations,Training dataset size of notable AI models,,"The same figure with training dataset size on the vertical axis.
Note — Dataset size is recorded in datapoints and mixes tokens, images and frames across domains, so compare within a domain rather than across","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-10,Epoch AI — Published Visualizations,Training cost of notable AI models,,"The same figure with training compute cost on the vertical axis, in 2023 US dollars.
Note — 180 of 1,043 notable models record a cost, and most of those are Epoch's estimates rather than disclosed spend","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-11,Epoch AI — Published Visualizations,Training power draw of notable AI models,,"The same figure with the power drawn by the training run on the vertical axis.
Note — 217 of 1,043 notable models record a power figure; it is the power of the training hardware, not of the facility","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
MODELS-12,Epoch AI — Published Visualizations,Training time of notable AI models,,"The same figure with training time in days on the vertical axis.
Note — 242 of 1,043 notable models record a training time; no trend is fitted, because the cloud carries none","Methodology reference pending final methodology document
Derivation follows Epoch AI's published AI models documentation",,,Epoch AI — Data on AI Models (notable_ai_models.csv),"One row per model, plotted at its publication date",,"1,043 models in the release, 534 with training compute; published 1950-07-02 to 2026-07-31",notable_ai_models.csv,Plotted only where Epoch records the value; nothing imputed,Epoch AI — Data on AI Models,https://epoch.ai/data/ai-models,
