node_name,pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,human_only_ability_pct,multitasking_pct,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,human_only_minutes,human_with_ai_minutes,time_ratio
Content Creation & Copywriting,22.72,36.83,63.17,2.79,87.08,27.36,12.97,12.45,6.18,42.13,63.12,19.69,17.19,370.79999999999995,42.13,8.801329219083787
Education & Learning,13.23,34.41,65.59,2.62,91.29,22.96,13.11,12.63,4.11,37.76,13.71,17.98,68.31,246.60000000000002,37.76,6.530720338983052
Software Development,11.51,65.48,34.52,2.91,65.75,23.83,14.47,13.45,8.36,60.07,67.15,24.3,8.55,501.59999999999997,60.07,8.350258032295654
Research & Intelligence,10.94,43.1,56.9,2.69,93.78,19.53,12.94,11.73,4.47,32.41,34.32,60.93,4.75,268.2,32.41,8.275223696390004
Hobbies & Lifestyle,9.49,50.52,49.48,2.61,94.6,21.56,9.26,7.65,2.54,36.22,3.01,96.76,0.23,152.4,36.22,4.207620099392601
Business Process & Operations,4.7,73.95,26.05,2.98,92.28,21.45,13.54,13.29,3.5,26.62,86.06,13.19,0.75,210.0,26.62,7.888805409466566
Document Processing & Extraction,4.32,59.21,40.79,2.77,86.7,9.75,13.97,12.95,3.59,17.39,55.83,20.92,23.25,215.39999999999998,17.39,12.386428982173662
Data Analysis & Business Intelligence,3.83,54.52,45.48,2.89,79.26,21.68,14.54,13.91,6.57,42.54,56.55,34.61,8.84,394.20000000000005,42.54,9.266572637517632
Knowledge Retrieval & Enterprise Search,3.61,43.85,56.15,2.42,98.66,9.67,10.18,8.63,0.61,6.31,28.59,67.61,3.79,36.6,6.31,5.800316957210777
"Existential, Relational, and Emotional Support",3.44,38.23,61.77,2.86,90.69,34.31,10.68,9.92,3.98,95.91,7.22,92.24,0.54,238.8,95.91,2.489834219580857
Personal AI Assistant,2.86,68.86,31.14,2.7,98.47,23.32,10.23,8.85,1.87,22.24,11.37,87.87,0.76,112.2,22.24,5.044964028776979
DevOps & Infrastructure Operations,2.82,80.3,19.7,2.62,85.65,24.37,14.19,13.76,2.76,53.5,68.04,28.83,3.12,165.6,53.5,3.095327102803738
Companionship & General Conversation,1.37,34.78,65.22,2.65,95.77,33.11,8.68,7.82,1.71,46.9,3.12,96.34,0.54,102.6,46.9,2.1876332622601278
Sales & Revenue Operations,1.1,61.2,38.8,2.95,91.08,34.08,13.45,13.06,5.75,40.0,98.14,1.69,0.17,345.0,40.0,8.625
Compliance & Regulatory,1.06,37.01,62.99,2.68,82.06,23.1,15.18,14.84,6.04,44.43,79.21,19.72,1.07,362.4,44.43,8.156650911546253
Customer Support & Service Operations,0.6,80.39,19.61,2.42,93.7,16.75,9.54,8.26,0.92,23.02,38.2,60.73,1.06,55.2,23.02,2.397914856646395
Cybersecurity & Threat Detection,0.38,63.07,36.93,2.73,88.93,20.67,14.26,13.67,3.79,45.47,57.08,30.28,12.65,227.4,45.47,5.001099626127117
Other / Unclear,0.36,76.97,23.03,2.18,99.17,2.28,3.69,3.17,0.26,1.06,9.68,89.3,1.02,15.600000000000001,1.06,14.716981132075473
Conversation & Meeting Intelligence,0.26,73.47,26.53,2.79,95.31,19.12,13.43,13.23,2.32,14.85,89.1,8.94,1.96,139.2,14.85,9.373737373737374
Trust & Safety / Platform Integrity,0.07,55.48,44.52,2.77,95.41,9.62,10.91,9.91,1.59,14.93,35.36,63.37,1.27,95.4,14.93,6.3898191560616215
