dataset,model,publication_date,organization_primary,organization,org_category,country,domain,task,training_compute_flop,parameters,training_dataset_size,training_cost_2023usd,training_time_hours,training_time_days,training_power_draw_w,hardware_quantity,citations,training_hardware,hardware_family,model_accessibility,open_weights,training_code_accessibility,confidence,compute_estimation_method
large_scale,AlphaStar,2019-10-30,DeepMind,DeepMind,,United Kingdom of Great Britain and Northern Ireland,Games,StarCraft,1.0773400001e+23,139000000.0,,,1056.0,44.0,,384.0,4093.0,Google TPU v3,Google TPU v3,Unreleased,,Open source,Confident,
large_scale,Meena,2020-01-28,Google Brain,Google Brain,,United States of America,Language,"Text autocompletion,Chat",1.12e+23,2600000000.0,,,720.0,30.0,,1024.0,1020.0,Google TPU v3,Google TPU v3,Unreleased,,Unreleased,Confident,
large_scale,GPT-3 175B (davinci),2020-05-28,OpenAI,OpenAI,,United States of America,Language,"Text autocompletion,Language modeling/generation",3.14e+23,174600000000.0,,,355.2,14.799999999999999,,10000.0,58240.0,NVIDIA Tesla V100 DGXS 32 GB,NVIDIA V100,API access,,Unreleased,Confident,
large_scale,Wu Dao 2.0,2021-05-31,Beijing Academy of Artificial Intelligence / BAAI,Beijing Academy of Artificial Intelligence / BAAI,,China,Multimodal,"Image captioning,Chat,Image generation,Text-to-image,Language modeling/generation,Question answering,Visual question answering",1.54350000000001e+24,1750000000000.0,,,,,,,,,,API access,,,Speculative,
large_scale,Jurassic-1-Jumbo,2021-08-11,AI21 Labs,AI21 Labs,,Israel,Language,"Language modeling/generation,Chat",3.7e+23,178000000000.0,,,,,,,55.0,NVIDIA A100,NVIDIA A100 / A800,API access,,Unreleased,Confident,
large_scale,HyperCLOVA 204B,2021-09-10,NAVER,NAVER,,Korea (Republic of),Language,Language modeling/generation,2.0000000001e+23,204000000000.0,,,,,,,92.0,NVIDIA A100,NVIDIA A100 / A800,Hosted access (no API),,Unreleased,Speculative,
large_scale,HyperCLOVA 82B,2021-09-10,NAVER,"NAVER,Search Solutions",,Korea (Republic of),Language,"Language modeling/generation,Chat,Translation,Text classification",1.476e+23,82000000000.0,,,643.2,26.8,,1024.0,131.0,NVIDIA A100,NVIDIA A100 / A800,API access,,Unreleased,Confident,
large_scale,Megatron-Turing NLG 530B,2021-10-11,Microsoft,"Microsoft,NVIDIA",,United States of America,Language,"Language modeling,Language modeling/generation,Question answering",8.586e+23,530000000000.0,,,770.0,32.083333333333336,,4480.0,847.0,NVIDIA A100 SXM4 80 GB,NVIDIA A100 / A800,Unreleased,,Unreleased,Confident,
large_scale,Yuan 1.0,2021-10-12,Inspur,Inspur,,China,Language,Language modeling,3.5380000000001e+23,245730000000.0,,,,,,2128.0,69.0,,,API access,,Unreleased,Confident,
large_scale,Gopher (280B),2021-12-08,DeepMind,DeepMind,,United Kingdom of Great Britain and Northern Ireland,Language,"Language modeling,Question answering",6.31e+23,280000000000.0,,,920.0,38.333333333333336,,4096.0,1605.0,Google TPU v3,Google TPU v3,Unreleased,,Unreleased,Confident,
large_scale,GLaM,2021-12-13,Google,Google,,United States of America,Language,"Language modeling/generation,Question answering",3.6363112434e+23,1200000000000.0,,,1366.0,56.916666666666664,,1024.0,1198.0,Google TPU v4,Google TPU v4,Unreleased,,Unreleased,Confident,
large_scale,EXAONE 1.0,2021-12-14,LG,LG,,Korea (Republic of),Multimodal,"Translation,Language modeling/generation,Visual question answering",1.6956e+24,300000000000.0,,,,,,,,,,Unreleased,,Unreleased,Speculative,
large_scale,ERNIE 3.0 Titan,2021-12-23,Baidu,"Baidu,Peng Cheng Laboratory",,China,Language,"Language modeling,Language modeling/generation,Relation extraction,Sentiment classification,Text classification",1.0421e+24,260000000000.0,,,,,,1920.0,87.0,"NVIDIA Tesla V100 DGXS 32 GB,Huawei Ascend 910",NVIDIA V100,Hosted access (no API),,Unreleased,Confident,
large_scale,AlphaCode,2022-02-02,DeepMind,DeepMind,,United Kingdom of Great Britain and Northern Ireland,Language,Code generation,2.38010000000001e+23,41100000000.0,,,147.2,6.133333333333333,,3750.0,2162.0,Google TPU v4,Google TPU v4,Unreleased,,Unreleased,Confident,
large_scale,LaMDA,2022-02-10,Google,Google,,United States of America,Language,Language modeling,3.55e+23,137000000000.0,,,1385.0,57.708333333333336,,1024.0,1863.0,Google TPU v3,Google TPU v3,Unreleased,,Unreleased,Confident,
large_scale,Midjourney V1,2022-02-15,Midjourney,Midjourney,,United States of America,Image generation,Image generation,,,,,,,,,,,,Hosted access (no API),,Unreleased,Unknown,
large_scale,ST-MoE,2022-02-17,Google,"Google,Google Brain,Google Research",,United States of America,Language,Language modeling/generation,2.9e+23,269000000000.0,,,,,,,375.0,,,Unreleased,,Open source,Likely,
large_scale,GPT-3.5 (davinci-002),2022-03-15,OpenAI,OpenAI,,United States of America,Language,Language modeling,2.578e+24,,,,,,,,,NVIDIA A100 SXM4 40 GB,NVIDIA A100 / A800,API access,,Unreleased,Speculative,
