id,title,megawatts,primary_company,companies,continent,country,region,city,status_class,status_raw,energy_class,energy_raw,focus_class,focus_raw,start_year,lat,lng,geo_precision,source_url
stock-farm-road-ai-data-center-south-korea,Stock Farm Road 3 GW AI Data Center (South Korea),3000.0,"Stock Farm Road, Inc.","Stock Farm Road, Inc.; Fir Hills; Jeollanam-do Provincial Government",Asia,South Korea,Jeollanam-do,,Announced,announced MOU-stage proposal; early-stage and not fully funded,Unknown,Grid and power supply not yet source-resolved,Training,Hyperscale AI training campus proposal,2025,34.989,126.471,exact,https://www.stockfarmroad.com/press-release;
adani-google-vizag-india-ai-campus,Google / AdaniConneX Visakhapatnam AI Hub,1000.0,Google,Google; Google Cloud; AdaniConneX; Adani Enterprises; Nxtra by Airtel,Asia,India,Andhra Pradesh / Visakhapatnam,Visakhapatnam,Under construction,"under construction; Google broke ground on April 28, 2026",Grid,Long-term clean-energy strategy and new clean-energy supply to the grid; not a delivered facility mix yet,General cloud,"Gigawatt-scale AI hub for advanced AI services, large-scale cloud infrastructure, and India AI ecosystem growth",2026,17.687,83.218,exact,https://www.googlecloudpresscorner.com/2026-04-28-Google-Breaks-Ground-on-India-AI-Hub%2C-Launching-a-National-Industrial-Ecosystem-Alongside-Indias-Digital-Infrastructure-Milestone;
ekibastuz-ai-data-center-valley-kazakhstan,Data Center Valley Ekibastuz AI Campus,1000.0,Kazakhstan Ministry of AI and Digital Development,Kazakhstan Ministry of AI and Digital Development; Kazakhtelecom,Asia,Kazakhstan,Pavlodar Region,Ekibastuz,Under construction,officially described as in active implementation phase,Unknown,State-backed energy-capacity program in Ekibastuz; exact generation mix not publicly selected.,AI (unspecified),Kazakhstan state-backed AI and data-center valley program,2026,51.724,75.313,exact,https://primeminister.kz/en/news/olzhas-bektenov-holds-meeting-on-implementation-of-presidential-instructions-within-the-data-center-valley-project-31118;
microsoft-india-ai-infrastructure-hyderabad-pune,Microsoft India South Central Cloud Region Program,600.0,Microsoft,Microsoft,Asia,India,Hyderabad / India South Central cloud-region program,,Under construction,under construction / planned cloud-region program; Microsoft says India South Central is set to go live in mid-2026,Unknown,Unknown facility-specific energy mix; renewable claims not selected for this program record,General cloud,"Sovereign-ready Microsoft cloud and AI infrastructure, Azure regions, AI platforms, and hyperscale infrastructure",2026,17.3606,78.4741,region,https://news.microsoft.com/source/asia/2025/12/09/microsoft-invests-us17-5-billion-in-india-to-drive-ai-diffusion-at-population-scale/;
alibaba-cloud-zhangbei-ai-data-center-china,Alibaba Cloud — Zhangbei Super Data Center,500.0,Alibaba,Alibaba Cloud,Asia,China,Hebei,Zhangbei,Operational,operational,Renewable,Renewable (wind + solar),Training & inference,"Training (Tongyi Qianwen LLMs), Inference",2020,41.1532,114.7008,exact,https://www.alibabacloud.com/blog/alibaba-cloud-data-center;
aws-tokyo-ap-northeast-1-japan,Amazon Web Services — AP-NORTHEAST-1 Tokyo Region,500.0,Amazon,Amazon Web Services,Asia,Japan,Tokyo,Tokyo,Operational,operational,Mixed,Mixed (Grid with renewable targets — TEPCO/JERA grid),Training & inference,"General Cloud + AI Inference (Bedrock, SageMaker AP, Trainium/Inferentia clusters)",2011,35.689,139.692,exact,https://aws.amazon.com/about-aws/global-infrastructure/regions_az/;
bytedance-johor-ai-data-center-malaysia,ByteDance — Johor AI Data Center,500.0,ByteDance (TikTok),ByteDance (TikTok),Asia,Malaysia,Johor,Kulai,Under construction,under_construction,Unknown,Unknown,Training,Training,,1.65,103.61,exact,https://www.techinasia.com/bytedance-to-invest-2-billion-in-malaysia-ai-hub
digital-edge-cgk-ai-mega-campus-indonesia,Digital Edge — CGK AI Mega Campus,500.0,Digital Edge,Digital Edge,Asia,Indonesia,West Java,Bekasi,Under construction,under_construction,Unknown,Unknown,Training & inference,Training and Inference,,-6.235,106.982,exact,https://www.digitaledgedc.com/digital-edge-announces-massive-ai-ready-campus-in-jakarta/
microsoft-japan-ai-data-centers,Microsoft — Japan AI Data Centers (Tokyo & Osaka),500.0,Microsoft,Microsoft,Asia,Japan,Tokyo & Osaka,Tokyo,Operational,operational,Renewable,Grid (TEPCO / Kansai Electric) + Renewable PPA,Training & inference,"Training and Inference (Azure OpenAI, Copilot)",2024,35.6762,139.6503,exact,https://blogs.microsoft.com/on-the-issues/2024/04/10/microsoft-japan-ai-investment/
oracle-malaysia-public-cloud-region,Oracle — Malaysia Public Cloud Region,500.0,Oracle,Oracle,Asia,Malaysia,Greater Kuala Lumpur,Kuala Lumpur,Planned,planned,Mixed,Mixed,Training & inference,Inference and Training (OCI Supercluster),2024,3.139,101.6869,exact,https://www.oracle.com/news/announcement/oracle-to-invest-over-6-point-5-billion-to-bring-public-cloud-region-to-malaysia-2024-10-02/
ytl-nvidia-johor-ai-cloud-malaysia,YTL & NVIDIA — Johor AI Cloud,500.0,YTL Power & NVIDIA,YTL Power & NVIDIA,Asia,Malaysia,Johor,Kulai,Operational,operational,Renewable,Renewable,Training,Training,,1.662,103.601,exact,https://www.freemalaysiatoday.com/category/nation/2024/03/18/ytl-nvidia-johor-ai-cloud-operational-by-2026/
