node_name,pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,human_only_ability_pct,multitasking_pct,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,human_only_minutes,human_with_ai_minutes,time_ratio
Analyzing Data or Information,14.14,96.63,3.37,2.19,90.34,1.44,14.61,15.12,0.87,3.8,91.93,5.53,2.53,52.2,3.8,13.73684210526316
Getting Information,13.61,95.49,4.51,2.38,88.14,3.61,13.35,13.65,0.87,3.37,83.24,15.06,1.7,52.2,3.37,15.489614243323443
Working with Computers,11.42,94.72,5.28,2.55,82.57,10.5,14.4,14.08,2.52,7.21,87.98,11.02,1.0,151.2,7.21,20.970873786407765
Processing Information,9.76,97.19,2.81,1.91,96.07,0.38,12.82,13.77,0.39,2.52,94.74,4.11,1.15,23.400000000000002,2.52,9.285714285714286
Thinking Creatively,6.84,88.9,11.1,2.54,78.88,9.47,13.04,12.91,3.29,8.09,82.62,15.87,1.5,197.4,8.09,24.400494437577258
Documenting/Recording Information,6.3,95.39,4.61,2.3,89.08,3.56,12.64,13.64,1.39,6.52,79.53,17.11,3.36,83.39999999999999,6.52,12.791411042944786
Making Decisions and Solving Problems,6.02,94.89,5.11,2.16,93.8,3.41,13.99,14.71,0.87,4.28,85.01,9.59,5.4,52.2,4.28,12.19626168224299
Providing Consultation and Advice to Others,3.89,81.8,18.2,2.4,88.83,8.06,12.14,11.89,0.94,8.53,61.77,35.88,2.34,56.4,8.53,6.611957796014068
"Judging the Qualities of Objects, Services, or People",3.3,94.89,5.11,2.02,93.33,0.46,12.64,13.94,0.43,3.21,95.21,2.59,2.2,25.8,3.21,8.037383177570094
Evaluating Information to Determine Compliance with Standards,2.84,87.6,12.4,1.89,94.11,0.52,13.59,14.68,0.56,2.87,98.11,1.27,0.62,33.6,2.87,11.707317073170731
Performing for or Working Directly with the Public,2.78,92.29,7.71,2.08,91.0,3.61,9.34,9.05,0.31,3.12,70.22,27.79,1.99,18.6,3.12,5.961538461538462
Interpreting the Meaning of Information for Others,1.81,93.45,6.55,1.9,96.28,1.31,10.52,12.21,0.45,3.1,87.46,9.74,2.8,27.0,3.1,8.709677419354838
"Monitoring Processes, Materials, or Surroundings",1.76,99.49,0.51,1.93,93.16,2.38,13.28,14.54,0.53,1.42,83.26,16.67,0.07,31.8,1.42,22.3943661971831
Performing Administrative Activities,1.73,98.67,1.33,1.99,98.25,2.27,11.2,12.02,0.32,2.28,93.69,6.05,0.26,19.2,2.28,8.421052631578947
Communicating with People Outside the Organization,1.57,92.57,7.43,2.16,92.63,3.23,10.11,10.33,0.4,2.7,69.84,25.87,4.29,24.0,2.7,8.888888888888888
"Inspecting Equipment, Structures, or Materials",0.63,96.43,3.57,2.52,86.25,2.93,14.44,15.05,1.55,4.42,97.67,2.06,0.28,93.0,4.42,21.040723981900452
Selling or Influencing Others,0.56,98.54,1.46,2.11,91.52,1.72,10.99,12.0,0.55,3.57,97.49,2.33,0.17,33.0,3.57,9.243697478991598
"Communicating with Supervisors, Peers, or Subordinates",0.55,94.96,5.04,2.3,89.76,6.18,12.67,13.12,0.7,4.02,89.97,9.65,0.38,42.0,4.02,10.447761194029852
Training and Teaching Others,0.42,53.13,46.87,2.2,87.34,8.12,10.53,10.34,0.73,12.91,25.42,18.34,56.25,43.8,12.91,3.392718822618125
Scheduling Work and Activities,0.42,96.57,3.43,2.15,91.29,9.86,11.11,11.02,0.4,3.86,83.6,16.24,0.16,24.0,3.86,6.217616580310881
"Organizing, Planning, and Prioritizing Work",0.23,94.21,5.79,2.44,84.98,6.6,13.33,13.89,1.78,5.3,82.08,17.0,0.92,106.8,5.3,20.150943396226417
Assisting and Caring for Others,0.22,96.53,3.47,2.07,94.07,3.06,6.74,5.93,0.31,2.62,53.38,46.2,0.42,18.6,2.62,7.099236641221374
"Estimating the Quantifiable Characteristics of Products, Events, or Information",0.16,92.03,7.97,2.12,93.81,4.34,12.62,13.25,0.8,4.32,65.02,30.29,4.69,48.0,4.32,11.11111111111111
Coaching and Developing Others,0.14,78.94,21.06,2.22,85.28,6.15,9.17,10.03,0.53,10.14,43.04,39.58,17.37,31.8,10.14,3.136094674556213
"Identifying Objects, Actions, and Events",0.09,98.22,1.78,2.37,89.6,2.03,13.25,13.69,1.3,3.01,99.09,0.91,0.0,78.0,3.01,25.913621262458474
Developing Objectives and Strategies,0.08,84.83,15.17,2.84,81.74,14.01,14.82,14.68,3.33,11.46,92.23,7.47,0.29,199.8,11.46,17.43455497382199
Staffing Organizational Units,0.05,98.37,1.63,2.0,76.08,2.03,11.62,11.68,0.54,4.43,98.91,0.83,0.26,32.400000000000006,4.43,7.313769751693004
Establishing and Maintaining Interpersonal Relationships,0.05,95.99,4.01,2.22,79.99,3.46,9.61,10.17,0.37,6.61,52.5,47.22,0.27,22.2,6.61,3.3585476550680786
