artifact,value
analysis or summary,21.01
none,16.34
data or spreadsheet,13.76
other,7.81
explanation or answer,7.81
document or report,5.9
code fix or debug,4.72
email or message,2.44
marketing or social content,2.28
config or infra,2.14
app or website,2.13
advice or recommendation,1.97
script or snippet,1.85
translation,1.25
creative writing,1.2
video or animation,0.91
image or graphic,0.9
plan or strategy,0.89
math or calculation,0.88
educational material,0.74
sql or database query,0.67
ml or ai system,0.62
game or interactive,0.44
blog or article,0.37
presentation or slides,0.29
chart or visualization,0.18
idea or brainstorm,0.16
resume or job application,0.1
audio or music,0.08
ui or design mockup,0.08
recipe or meal plan,0.05
academic paper or thesis,0.05
