Plot_ID,Section,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Granularity,Year,Coverage,Source_files,Data_treatment,Source_name,Source_url,Legacy_anchor
AEI-01,Anthropic — Published Visualizations,"Anthropic AI Usage Index, by country",,"Anthropic's headline geographic measure: a country's share of Claude usage divided by its share of world working-age population.
Note — An index above 1.0 is Claude usage per head relative to the world, not a country's AI adoption","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One country,2026-04 – 2026-05,"Top 20 of 121 countries, 2026-05",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-02,Anthropic — Published Visualizations,"Share of Claude usage, by country",,"Where Claude conversations come from, as a share of the global total — the volume view the index normalises.
Note — Volume follows population and market presence, so this and the index answer different questions","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One country,2026-04 – 2026-05,"Top 20 of 121 countries, 2026-05",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-03,Anthropic — Published Visualizations,"Anthropic AI Usage Index, by US state",,"The same index inside the United States, the only country published at subregion level.
Note — The District of Columbia sits far above every state","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One US state,2026-04 – 2026-05,"Top 20 of 51 states, 2026-05",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-04,Anthropic — Published Visualizations,"Work, personal and study use of Claude",,"Anthropic's classification of what each conversation was for — the split that decides whether a usage figure belongs in an enterprise estimate.
Note — Only the work share is a candidate for an enterprise measure","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),Global share,2026-04 – 2026-05,"3 mutually exclusive categories, 2026-05, change from 2026-04 marked",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-06,Anthropic — Published Visualizations,How people work with Claude,,"The interaction pattern underneath the automation split — directive, iteration, learning, validation, feedback loops.
Note — Directive and task iteration together account for most conversations","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),Global share,2026-04 – 2026-05,"6 patterns, 2026-05, change from 2026-04 marked",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-07,Anthropic — Published Visualizations,"What people ask Claude for, by topic",,"Anthropic's request taxonomy at major-topic grain: what the conversation was about.
Note — Shares are of classified conversations and do not total 100%","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One request topic,2026-04 – 2026-05,"Top 15 of 20 major topics, 2026-05",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-08,Anthropic — Published Visualizations,Claude usage mapped to occupation groups,,"Conversations mapped onto the BLS Standard Occupational Classification at major-group level.
Note — This is the occupational character of the work, not the occupation of the person typing","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One SOC major group,2026-04 – 2026-05,"Top 15 of 22 groups, 2026-05",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-09,Anthropic — Published Visualizations,Claude usage mapped to work activities,,"Conversations mapped onto O*NET Generalized Work Activities.
Note — Advice, information-gathering and creative thinking dominate","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One O*NET GWA,2026-04 – 2026-05,"Top 15 of 35 activities, 2026-05",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-10,Anthropic — Published Visualizations,What Claude actually produced,,"The most prominent concrete output of each conversation, across Anthropic's 32 artifact labels.
Note — 'None' is a real and large category: many conversations produce no artifact","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One artifact type,2026-04 – 2026-05,"Top 16 of 32 labels, 2026-05",aei_claude_ai_2026-06-26.csv,Absent cells left absent — Anthropic publishes a value only above an aggregation threshold and a geography sample floor; nothing imputed,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-D01,Derived Analysis,Automation by occupation group,,"The automation share held at occupation grain, against the global average the published view reports as one number.
Note — Automation is a property of the conversation, not evidence of a job displaced","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One SOC major group,2026-04 – 2026-05,14 groups with at least 1% of conversations,aei_claude_ai_2026-06-26.csv,Deviation from the published global average; groups below 1% of conversations excluded as too sparse to read,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
AEI-D02,Derived Analysis,"Estimated task time, with and without Claude",,"Anthropic's two time estimates side by side, converted to a common unit.
Note — The file publishes one in hours and the other in minutes; read raw they appear to show AI making tasks slower","Methodology reference pending final methodology document
Derivation follows Anthropic's published Economic Index data documentation",,,Anthropic — Economic Index (Claude.ai),One SOC major group,2026-04 – 2026-05,14 groups with at least 1% of conversations,aei_claude_ai_2026-06-26.csv,human_only_time_mean (hours) converted to minutes to match human_with_ai_time_mean; both are Anthropic's model-generated estimates,Anthropic Economic Index,https://huggingface.co/datasets/Anthropic/EconomicIndex,
