metric_id,2026-04-01,2026-05-01,delta
ai_autonomy_mean,2.72,2.74,0.020000000000000018
ai_education_years_mean,12.69,12.63,-0.05999999999999872
artifact_academic_paper_or_thesis_pct,1.07,1.16,0.08999999999999986
artifact_advice_or_recommendation_pct,10.06,10.72,0.6600000000000001
artifact_analysis_or_summary_pct,5.53,5.55,0.019999999999999574
artifact_app_or_website_pct,4.18,4.21,0.03000000000000025
artifact_audio_or_music_pct,0.03,0.03,0.0
artifact_blog_or_article_pct,0.56,0.55,-0.010000000000000009
artifact_chart_or_visualization_pct,2.4,2.22,-0.17999999999999972
artifact_code_fix_or_debug_pct,3.68,3.29,-0.3900000000000001
artifact_config_or_infra_pct,1.73,1.52,-0.20999999999999996
artifact_creative_writing_pct,1.55,1.47,-0.08000000000000007
artifact_data_or_spreadsheet_pct,3.0,3.11,0.10999999999999988
artifact_document_or_report_pct,14.42,14.91,0.4900000000000002
artifact_educational_material_pct,2.58,2.83,0.25
artifact_email_or_message_pct,4.63,4.61,-0.019999999999999574
artifact_explanation_or_answer_pct,16.64,16.68,0.03999999999999915
artifact_game_or_interactive_pct,0.36,0.35,-0.010000000000000009
artifact_idea_or_brainstorm_pct,0.76,0.71,-0.050000000000000044
artifact_image_or_graphic_pct,0.79,0.87,0.07999999999999996
artifact_marketing_or_social_content_pct,2.57,2.6,0.03000000000000025
artifact_math_or_calculation_pct,1.51,1.5,-0.010000000000000009
artifact_ml_or_ai_system_pct,0.5,0.46,-0.03999999999999998
artifact_none_pct,7.06,6.52,-0.54
artifact_other_pct,0.18,0.18,0.0
artifact_plan_or_strategy_pct,3.97,4.09,0.11999999999999966
artifact_presentation_or_slides_pct,2.33,2.32,-0.010000000000000231
artifact_recipe_or_meal_plan_pct,0.57,0.62,0.050000000000000044
artifact_resume_or_job_application_pct,1.72,1.75,0.030000000000000027
artifact_script_or_snippet_pct,3.37,2.97,-0.3999999999999999
artifact_sql_or_database_query_pct,0.47,0.41,-0.06
artifact_translation_pct,0.74,0.77,0.030000000000000027
artifact_ui_or_design_mockup_pct,0.82,0.79,-0.029999999999999916
artifact_video_or_animation_pct,0.24,0.26,0.020000000000000018
collaboration_bucket_augmentation_pct,51.02,51.38,0.35999999999999943
collaboration_bucket_automation_pct,48.98,48.62,-0.35999999999999943
collaboration_directive_pct,31.72,31.38,-0.33999999999999986
collaboration_feedback_loop_pct,16.0,15.97,-0.02999999999999936
collaboration_learning_pct,16.75,16.55,-0.1999999999999993
collaboration_none_pct,2.58,2.61,0.029999999999999805
collaboration_task_iteration_pct,29.88,30.41,0.5300000000000011
collaboration_validation_pct,3.08,3.08,0.0
human_education_years_mean,11.89,11.79,-0.10000000000000142
human_only_ability_pct,87.79,87.62,-0.1700000000000017
human_only_time_mean,4.59,4.73,0.14000000000000057
human_with_ai_time_mean,38.65,40.12,1.4699999999999989
multitasking_pct,22.29,22.92,0.6300000000000026
usage_pct,100.0,100.0,0.0
usage_per_capita_index,1.0,1.0,0.0
use_case_coursework_pct,15.99,16.45,0.4599999999999991
use_case_personal_pct,38.48,40.2,1.720000000000006
use_case_work_pct,45.53,43.36,-2.1700000000000017
