Plot_ID,Section,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Granularity,Year,Coverage,Source_files,Data_treatment,Source_name,Source_url,Legacy_anchor
TPD-01,Tokens Per Day — Published Visualizations,Tokens per day over time — the estimate and the disclosed floor,,"The site's TOTAL tab: its modeled estimate of global tokens per day against the disclosed floor beneath it, drawn linear as the site draws it and logarithmic beside it.
Note — The floor has gone from 6% of the estimate to 83%; on a linear axis the first eighteen months sit on the axis","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One observation per disclosure or quarterly estimate,Extracted 2026-08-21; data last verified 2026-07-16,"2 series, 30 points, Jan 2024 – Jul 2026",tokens_per_day_total.csv,"Values copied verbatim from the chartData objects embedded in the site's homepage; nothing rounded, interpolated or recomputed",Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-02,Tokens Per Day — Published Visualizations,Tokens per day over time — by country,,"The site's BY COUNTRY tab: five regional series, of which one is measured and four are share allocations of the same residual.
Note — The five sum to the disclosed floor, not to the estimate — the 60T/day difference appears in no region","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One observation per plotted point,Extracted 2026-08-21; data last verified 2026-07-16,"5 series, 99 points, Jan 2024 – Jun 2026",tokens_per_day_country.csv,"Values copied verbatim from the chartData objects embedded in the site's homepage; nothing rounded, interpolated or recomputed",Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-03,Tokens Per Day — Published Visualizations,Tokens per day over time — by company,,"The site's BY COMPANY tab: every company-level disclosure it holds, on a log axis so all eight series are readable.
Note — No two series count the same thing, and two of the eight rest on a single observation","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One observation per disclosure,Extracted 2026-08-21; data last verified 2026-07-16,"8 companies, 28 points, Feb 2024 – Jun 2026",tokens_per_day_company.csv,"Values copied verbatim from the chartData objects embedded in the site's homepage; nothing rounded, interpolated or recomputed",Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-04,Tokens Per Day — Published Visualizations,A day in tokens — the 24-hour cycle,,"The site's hourly chart: Global, United States and China as a percentage of each series' own peak hour, in UTC.
Note — Nothing here is a token count — the site states the curves are a stylised model, not measured hourly traffic","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One value per series per hour,Extracted 2026-08-21; data last verified 2026-07-16,3 series x 24 hours UTC,hourly_tokens.csv,"Percentages copied verbatim; each series is normalised to its own peak, so levels are not comparable across series",Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-05,Tokens Per Day — Published Visualizations,"Cumulative tokens processed, all time",,"The site's all-time cumulative curve, drawn together with the same curve rebuilt by integrating the daily estimate.
Note — The two agree to 0.10%, which settles what the chart is: the daily estimate added up","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One point per quarter,Extracted 2026-08-21; data last verified 2026-07-16,"12 quarters, Jan 2024 – Jul 2026",cumulative_tokens.csv + tokens_per_day_total.csv,"Published curve copied verbatim; the reconstruction is a trapezoid integral of the plotted daily estimate, stated as a check rather than substituted for it",Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-06,Tokens Per Day — Published Visualizations,The estimate across time — the quarterly band,,"The /estimates/ page's quarterly low, middle and high for the six-channel triangulation.
Note — The band ends 308–477T/day around a middle of 360; quoting the middle alone states a precision the method does not have","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One low/mid/high per quarter,Extracted 2026-08-21; data last verified 2026-07-16,"12 quarters, Jan 2024 – Jul 2026",estimate_band_quarterly.csv,"Values copied verbatim from the chartData objects embedded in the site's homepage; nothing rounded, interpolated or recomputed",Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D01,Derived Analysis,The disclosed floor against the estimate above it,,"The disclosed floor as a percentage of the estimate at each quarter — how much of the index is evidence rather than inference.
Note — 6% in Oct 2024 to 83% now, almost all of it four disclosures arriving between January and June 2026","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One ratio per quarterly estimate point,Extracted 2026-08-21; data last verified 2026-07-16,11 quarters where a floor observation exists,tokens_per_day_total.csv,"The floor is carried forward between disclosures, matching the site's own tooltip rule; never interpolated",Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D02,Derived Analysis,"The evidence ledger, and the six rows that are the floor",,"Every disclosure the index holds, marked by whether it is in the floor, contained inside another row, or superseded.
Note — Doubao's 180T/day is the largest number in the ledger and contributes nothing — it sits inside the China aggregate","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One disclosure,Extracted 2026-08-21; data last verified 2026-07-16,27 disclosures from 10 entities; 6 in the floor,evidence_ledger.csv,Read from the site's own evidence ledger and estimates tables; the measured/modeled distinction is preserved rather than flattened,Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D03,Derived Analysis,Whether the country split is four numbers or one,,"Each non-China region as a percentage of the four combined, at every date the country tab plots, against the share the site says it applies.
Note — The shares hold to 0.32 percentage points, against a 0.27pp tolerance from rounding alone — they are fixed, not measured","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One implied share per region per date,Extracted 2026-08-21; data last verified 2026-07-16,4 regions x 12 dates with a base above 10T/day,tokens_per_day_country.csv + geography_allocation_shares.csv,Shares computed from the plotted values; the stability test excludes dates where the site's 0.1T rounding dominates the arithmetic,Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D04,Derived Analysis,What each company's estimate is actually worth,,"The reconciled low-to-high band behind each company's published figure, ordered by width.
Note — Widths run from 1x to 112x; the largest contributors are the best known, because they disclosed","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One band per company,Extracted 2026-08-21; data last verified 2026-07-16,10 companies plus the global reconciliation,reconciled_company_estimates.csv,Read from the site's own evidence ledger and estimates tables; the measured/modeled distinction is preserved rather than flattened,Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D05,Derived Analysis,"The channels behind each band, and the one that failed its back-test",,"For each company estimated by more than one route, every route the site ran and the band it produced, separating demand estimates from hardware ceilings.
Note — A hardware figure is a ceiling and passes only by sitting above the demand figure; DeepSeek's revenue route back-tested 12.9x high and was dropped","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One channel estimate,Extracted 2026-08-21; data last verified 2026-07-16,12 channel estimates across the 5 companies with more than one route,channel_fan_per_company.csv,Read from the site's own evidence ledger and estimates tables; the measured/modeled distinction is preserved rather than flattened,Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D06,Derived Analysis,Demand against the hardware ceiling,,"The four inputs to the site's capacity check, each as its own range, and what they compound to against the demand estimate they are meant to bound.
Note — No input is worse than 3.3x uncertain; multiplied they give an 18x ceiling, which can refute an estimate but cannot confirm one","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One parameter range,Extracted 2026-08-21; data last verified 2026-07-16,4 parameters and the compounded capacity band,capacity_parameters.csv + headline_metrics.csv,Parameter ranges as published; each drawn against its own middle case so four different units compare on one axis,Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D07,Derived Analysis,This index against the independent estimates,,"Every other published attempt at the same quantity, with this index's own band behind them.
Note — The 8.6x spread is mostly scope — a16z's 50T is the LLM API market, Epoch's 432T is all providers globally","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One published estimate,Extracted 2026-08-21; data last verified 2026-07-16,"6 estimates with a single plottable figure, of 7 published",comparison_vs_independent_estimates.csv + estimate_band_quarterly.csv,Third-party figures are shown for comparison only; they are never summed into or averaged with the index,Tokens Per Day — tokensperday.com,https://tokensperday.com/,
TPD-D08,Derived Analysis,"How fast the estimate grew, and how uncertain it stayed",,"Quarter-on-quarter growth in the middle estimate, and the width of the band around it, as quantities rather than as slope and thickness.
Note — Growth peaked at x2.21 in Jul 2025 and has fallen every quarter since; the band bottomed at x1.41 and has widened slightly","Methodology reference pending final methodology document
Derivation follows the Tokens Per Day published methodology and estimates pages",,,Tokens Per Day — global inference token index,One quarter-on-quarter step,Extracted 2026-08-21; data last verified 2026-07-16,10 growth steps and 12 band widths,estimate_band_quarterly.csv,Growth is computed from the published quarterly middles; the one-day step to the site's as-of date is excluded as not a quarter,Tokens Per Day — tokensperday.com,https://tokensperday.com/,
