Plot_ID,Chart_title,Datasets_used,What_the_chart_shows,Methodology_reference,Chart_link,Status,Owning_dataset,Source_name,Source_url
P-01,Annualised throughput by disclosing provider (grouped bar),"Company-Disclosed Inference Throughput
Inputs: Method 1 provider disclosures (Google, OpenAI, Microsoft)","The bottom-up Method 1 subtotal, provider by provider.
Axes: Provider vs Annualised tokens/yr (quadrillions).
Note — Label each bar with its disclosure date; state that Google and OpenAI are spot rates annualised.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Company-Disclosed Inference Throughput,Primary company disclosures:,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm
P-02,Spot-rate to annualised conversion (waterfall),"Company-Disclosed Inference Throughput
Inputs: Alphabet Q2 2026 disclosure","How 22bn tokens/min becomes 11.6 quadrillion/yr.
Axes: Conversion step vs Tokens.
Note — Label the constancy assumption explicitly at the annualisation step.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Company-Disclosed Inference Throughput,Primary company disclosures:,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm
P-03,API-only vs all-surfaces scope ladder (scope ladder / nested bar),"Company-Disclosed Inference Throughput
Inputs: Google API vs Google all-surfaces","That the all-surfaces figure contains the API figure.
Axes: Scope vs Tokens/month.
Note — Caption with de-dup rule 2: never add these two.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Company-Disclosed Inference Throughput,Primary company disclosures:,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm
P-04,OpenAI vs Google share of Method 1 subtotal (stacked bar with share labels),"Company-Disclosed Inference Throughput
Inputs: OpenAI vs Google","How concentrated the measurable total is in two providers.
Axes: Provider vs Share of Method 1 subtotal.
Note — Disclosure dates differ (Mar 2026 vs Q2 2026) - state it.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Company-Disclosed Inference Throughput,Primary company disclosures:,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm
P-05,Microsoft Foundry quarterly vs annual run rate (line + reference band),"Company-Disclosed Inference Throughput
Inputs: Microsoft FY25 quarterly vs annual","Whether quarterly scaling reconciles to the disclosed FY25 annual run rate.
Axes: Fiscal quarter vs Tokens.
Note — Mark the FY/CY boundary (Microsoft FY25 ends 30 Jun 2025).","§7.3 — Method 1, Direct Provider Throughput",,Not started,Company-Disclosed Inference Throughput,Primary company disclosures:,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm
P-06,"Gateway vs owner attribution overlap (stacked bar, overlap shaded)","Company-Disclosed Inference Throughput
Inputs: Microsoft Foundry vs OpenAI overlap","The double-count risk from gateway-served traffic.
Axes: Attribution basis vs Tokens.
Note — Cite de-dup rule 1: count at the model owner, not the gateway.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Company-Disclosed Inference Throughput,Primary company disclosures:,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm
P-07,"Daily tokens by company over time (scatter/line, log y)","Epoch AI — AI Companies: Usage Reports
Inputs: ai_companies_usage_reports","Every disclosed daily-token figure on one timeline.
Axes: Report date vs Daily tokens.
Note — Encode the confidence field as marker size or opacity.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Epoch AI — AI Companies: Usage Reports,Epoch AI — AI Companies,https://epoch.ai/data/ai-companies
P-08,Disclosure coverage matrix (heatmap / presence matrix),"Epoch AI — AI Companies: Usage Reports
Inputs: ai_companies_usage_reports","Which providers disclose tokens at all, and how often.
Axes: Quarter vs Company.
Note — Empty cells are the collection gap - label them, do not hide them.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Epoch AI — AI Companies: Usage Reports,Epoch AI — AI Companies,https://epoch.ai/data/ai-companies
P-09,Tokens per active user by product (bar),"Epoch AI — AI Companies: Usage Reports
Inputs: ai_companies_usage_reports","The bridge between usage-based and throughput-based estimates.
Axes: Product vs Tokens per active user.
Note — Note where the user-count definition differs by provider.","§7.3 — Method 1, Direct Provider Throughput",,Not started,Epoch AI — AI Companies: Usage Reports,Epoch AI — AI Companies,https://epoch.ai/data/ai-companies
P-10,"Annualised revenue by company and scope (line, faceted by scope)","Epoch AI — AI Companies: Revenue Reports
Inputs: ai_companies_revenue_reports","Revenue trajectories, kept separate by revenue scope.
Axes: Reporting date vs Annualised revenue.
Note — Never pool API-only and company-wide scopes on one line.","§7.4 — Method 2, Revenue ÷ Price per Token",,Not started,Epoch AI — AI Companies: Revenue Reports,Epoch AI — AI Companies,https://epoch.ai/data/ai-companies
P-11,Revenue scope composition (stacked bar),"Epoch AI — AI Companies: Revenue Reports
Inputs: ai_companies_revenue_reports","How much of the revenue register is usable for Method 2.
Axes: Scope type vs Count of records.
Note — API-only records are the usable subset; label the rest.","§7.4 — Method 2, Revenue ÷ Price per Token",,Not started,Epoch AI — AI Companies: Revenue Reports,Epoch AI — AI Companies,https://epoch.ai/data/ai-companies
